internship_title,company_name,location,start_date,duration,stipend,required_skills
Campus Ambassador,Across The Globe (ATG),Work From Home,Immediately,6 Months,Performance Based,"Teamwork, Time Management"
Customer Support,NoBroker Technologies Solution Private Limited,Bangalore,Immediately,6 Months,"₹ 12,000 /month","Teamwork, Time Management"
Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Sales,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-2,500 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Marketing,Vedantu Innovations,Tiruchirappalli,Immediately,3 Months,"₹ 20,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Generative Adversarial Networks,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 8,000-12,000 /month","Teamwork, Time Management"
Node.js Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-8,000 /month","Teamwork, Time Management"
Web Development (Frontend),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-7,500 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Sales,NoBroker Technologies Solutions Private Limited,Hyderabad,Immediately,3 Months,"₹ 15,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Technical Content Writing,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives","Teamwork, Time Management"
MERN Stack Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 4,000-10,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
ReactJs Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-5,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Python Django Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives","CSS, Communication, Community Outreach, Git, HTML, JavaScript, OOPs, Problem Solving, Project Management, Python, Responsive Design, Teamwork, Time Management"
Python Automation,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives","Git, OOPs, Problem Solving, Python, Teamwork, Time Management"
HR & Admin,Modenik Lifestyle Private Limited,Bangalore,Immediately,3 Months,"₹ 8,000 /month","Teamwork, Time Management"
Resource Management,Techolution,Hyderabad,Immediately,3 Months,"₹ 15,000 /month","Teamwork, Time Management"
Project Management,IIT Bombay,Work From Home,Immediately,3 Months,"₹ 1,000-2,000 /month","Teamwork, Time Management"
Business Development,Ozzone Group,Work From Home,Immediately,3 Months,"₹ 10,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Ahmedabad,Immediately,3 Months,"₹ 15,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Sales Promotion,IndiaFirst Life Private Limited,Mumbai,Immediately,3 Months,"₹ 25,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
UI Design,Pepperfry,Mumbai,Immediately,3 Months,"₹ 20,000-25,000 /month","Teamwork, Time Management"
Project Management (Marketing),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-7,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Finance & Accounting,MetrixLab,Hyderabad,Immediately,3 Months,"₹ 18,000 /month","Accounting Basics, Excel, Financial Analysis, Tally, Teamwork, Time Management"
Customer Relationship,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,3 Months,"₹ 12,000 /month","Teamwork, Time Management"
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3 Months,"₹ 15,000 /month","Teamwork, Time Management"
Communication & Project Management,Teach For India,Hyderabad,Immediately,3 Months,"₹ 4,000 /month","Teamwork, Time Management"
Logistics And Operations,Delhivery,Mumbai,Immediately,3 Months,"₹ 8,000 /month","Teamwork, Time Management"
Event Management,Times Internet,Noida,Immediately,3 Months,"₹ 10,000 /month","Teamwork, Time Management"
Content Writing,LeadSquared,Bangalore,Immediately,3 Months,"₹ 20,000 /month","Teamwork, Time Management"
Environment Education Program (Mumbai),WWF-India,Mumbai,Immediately,3 Months,"₹ 10,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Business Development (Sales),Anarock Property Consultant Private Limited,Bangalore,Immediately,3 Months,"₹ 20,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Human Resources (HR),Zee Media Corporation Limited,Noida,Immediately,3 Months,"₹ 2,000 /month","Teamwork, Time Management"
Finance,CaratLane Trading Private Limited,Chennai,Immediately,3 Months,"₹ 15,000 /month","Accounting Basics, Excel, Financial Analysis, Tally, Teamwork, Time Management"
Customer Service,Ferns N Petals,Gurgaon,Not specified,3 Months,"₹ 15,000 /month","Teamwork, Time Management"
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Work From Home,Immediately,3 Months,"₹ 15,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Human Resources (HR),Agarwal Packers & Movers Limited,Delhi,Immediately,3 Months,"₹ 10,000 /month","Teamwork, Time Management"
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,Immediately,3 Months,"₹ 15,000 /month","Teamwork, Time Management"
Sales,NoBroker Technologies Solutions Private Limited,Vadodara,Immediately,3 Months,"₹ 12,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Human Resources (HR),MAHANADI SPICES,Bilaspur,Immediately,3 Months,"₹ 20,000 /month","Teamwork, Time Management"
Fundraising,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Recruitment,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"Teamwork, Time Management"
Human Resources (HR),Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"Teamwork, Time Management"
Talent Acquisition,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,"Teamwork, Time Management"
"New Client Aquisition, Key Accounts Management",Pepperfry Limited,Panvel,Immediately,1 Week,"₹ 8,000 /month +  Incentives","Teamwork, Time Management"
Talent Acquisition,Scaler Academy,Work From Home,Immediately,1 Week,"₹ 5,000-8,000 /month","Teamwork, Time Management"
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,Immediately,1 Week,"₹ 15,000 /month","Teamwork, Time Management"
Business Development Management,Across The Globe (ATG),Work From Home,Immediately,1 Week,"₹ 1,000-1,500 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Data Entry With Marketing,Across The Globe (ATG),Work From Home,Immediately,1 Week,"₹ 1,000-1,500 /month","Analytics, Communication, Content Creation, Data Visualization, Digital Marketing, Excel, NumPy, Pandas, Python, SEO, SQL, Teamwork, Time Management"
Social Work,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,"Communication, Community Outreach, Project Management, Teamwork, Time Management"
Human Resources (HR),Jiva Ayurveda,Faridabad,Immediately,1 Week,"₹ 5,000 /month","Teamwork, Time Management"
Campus Ambassador,IIT Roorkee,Work From Home,Immediately,1 Week,Performance Based,"Teamwork, Time Management"
Content Writing,Xiaomi Technology India Private Limited,Bangalore,Immediately,1 Week,"₹ 20,000 /month","Teamwork, Time Management"
Operations,NoBroker Technologies Solutions Private Limited,Noida,Immediately,1 Week,"₹ 15,000 /month","Teamwork, Time Management"
Resource Management,Techolution,Hyderabad,Immediately,1 Week,"₹ 15,000 /month","Teamwork, Time Management"
Human Resources (HR),Zucol Group Of Companies,Jaipur,Immediately,1 Week,"₹ 7,000-10,000 /month","Teamwork, Time Management"
HR Operations,Freecharge Payments Technology Private Limited,Gurgaon,Immediately,1 Week,"₹ 15,000 /month","Teamwork, Time Management"
Guest Relation Operations,Apollo Hospitals,Navi Mumbai,Immediately,1 Week,"₹ 5,000 /month","Teamwork, Time Management"
Business Development (Sales),Decathlon Sport India,Ahmedabad,Immediately,1 Week,"₹ 10,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Event Coordination,Aam Aadmi Party,Delhi,Immediately,1 Week,Unpaid,"Teamwork, Time Management"
Graphic Design,Educate Girls,Mumbai,Immediately,1 Week,"₹ 12,000-15,000 /month","Teamwork, Time Management"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,"Teamwork, Time Management"
Induction Representation,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,"Teamwork, Time Management"
Business Development (Sales),Urban Company,Bhubaneswar,Immediately,1 Week,"₹ 20,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Human Resources (HR),Community Action Through Motivation Program,Naya Raipur,Immediately,1 Week,"₹ 3,000 /month","Teamwork, Time Management"
Field Sales,LIC,Ahmedabad,Immediately,1 Week,"₹ 5,000 /month +  Incentives","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Business Development (Sales),Decathlon Sports India,Ahmedabad,Immediately,1 Week,"₹ 5,000-10,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
City Management,Urban Company,Mumbai,Immediately,1 Week,"₹ 20,000-25,000 /month","Teamwork, Time Management"
Social Media Management,Life Fitness,Work From Home,Immediately,1 Week,"₹ 1,000 /month","Communication, Community Outreach, Project Management, Teamwork, Time Management"
Human Resources (HR),Paradise Food Court Private Limited,Hyderabad,Immediately,1 Week,"₹ 5,000 /month","Teamwork, Time Management"
Video Editor,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,"Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Human Resources (HR),APAC Financial Services Private Limited,Mumbai,Immediately,1 Week,"₹ 8,000-10,000 /month","Teamwork, Time Management"
Social Media Marketing,Sportskeeda,Work From Home,Immediately,1 Week,"₹ 10,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Omni Sports Leader,Decathlon,Thane,Immediately,1 Week,"₹ 10,000 /month","Teamwork, Time Management"
Graphic Design,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Week,"₹ 10,000 /month","Teamwork, Time Management"
Business Development (Sales),Urban Company,Bangalore,Immediately,1 Week,"₹ 18,000-25,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Graphic Design,Saregama India Limited,Chennai,Immediately,1 Week,"₹ 5,000-10,000 /month","Teamwork, Time Management"
Android App Development,Star Health & Allied Insurance Company Limited,Vrindavan,Immediately,1 Week,"₹ 5,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Talent Acquisition,Techolution,Work From Home,Immediately,1 Week,"₹ 15,000 /month","Teamwork, Time Management"
Telecalling,Air India SATS Airport Services Private Limited,Delhi,Immediately,1 Week,"₹ 7,000-15,000 /month","Teamwork, Time Management"
Business Development (Sales),Urban Company,Mumbai,Immediately,1 Week,"₹ 20,000-25,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Operations,PcsInfinity,Delhi,Immediately,3 Months,"₹ 10,000 lump sum","Teamwork, Time Management"
Company Secretary (CS),Justdial,Mumbai,Immediately,1 Week,"₹ 12,000 /month","Teamwork, Time Management"
Human Resources (HR),Media.net,Bangalore,Immediately,1 Week,"₹ 15,000 /month","Teamwork, Time Management"
Content Writing,OfBusiness,Gurgaon,Immediately,4 Months,"₹ 20,000 /month","Teamwork, Time Management"
Talent Acquisition,Ozone Overseas Private Limited,Gurgaon,Immediately,4 Months,"₹ 15,000 /month","Teamwork, Time Management"
Webinar Operations & Strategy,Simplilearn Solutions Private Limited,Bangalore,Immediately,4 Months,"₹ 15,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Business Development (Sales),Pioneer E Solutions,Gurgaon,Immediately,4 Months,"₹ 15,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Social Media Manager,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,"Communication, Community Outreach, Project Management, Teamwork, Time Management"
Journalism,Press Trust Of India,Delhi,Immediately,4 Months,"₹ 20,000 /month","Teamwork, Time Management"
Business Operations,Pristyn Care,Gurgaon,Immediately,4 Months,"₹ 8,000 /month","Teamwork, Time Management"
Online Reputation Management,Motilal Oswal Financial Services Limited,Mumbai,Immediately,4 Months,"₹ 5,000 /month","Teamwork, Time Management"
Strategy and Research,Vedantu,Bangalore,Immediately,4 Months,"₹ 25,000-35,000 /month","Teamwork, Time Management"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,"Teamwork, Time Management"
HR,AU Small Finance Bank,Mumbai,Immediately,4 Months,"₹ 2,000 /month","Teamwork, Time Management"
Business Development,CollegeDunia Web Private Limited,Gurgaon,Immediately,4 Months,"₹ 10,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Web Maintenance,Tata Motors,Mumbai,Immediately,4 Months,"₹ 8,000 /month","CSS, Data Preprocessing, Git, HTML, JavaScript, Machine Learning, Python, Responsive Design, Scikit-learn, Teamwork, Time Management"
User Research,Leverage Edu,Noida,Immediately,4 Months,"₹ 10,000 /month","Teamwork, Time Management"
Nutraceuticals-Project,Akums Drugs & Pharmaceuticals Limited,Delhi,Immediately,4 Months,"₹ 12,000 /month","Teamwork, Time Management"
Finance & Accounting,Ieng Groups,Bangalore,Immediately,4 Months,"₹ 5,000 /month","Accounting Basics, Excel, Financial Analysis, Tally, Teamwork, Time Management"
Sales Administration,Fresenius Kabi,Pune,Immediately,4 Months,"₹ 20,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Marketing And Communications,Zee Entertainment Enterprises Limited,Mumbai,Immediately,4 Months,"₹ 5,000-7,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Business Development (Sales),Urban Company,Patna,Immediately,4 Months,"₹ 20,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Human Resources (HR),SILA Group,Bangalore,Immediately,4 Months,"₹ 8,000 /month","Teamwork, Time Management"
Program Operations,Bharti Foundation,Gurgaon,Immediately,4 Months,"₹ 17,500 /month","Teamwork, Time Management"
Volunteering,International Human Rights Protection Commission,Andhra Pradesh,Immediately,4 Months,Unpaid,"Teamwork, Time Management"
Social Entrepreneurship,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,"Communication, Community Outreach, Project Management, Teamwork, Time Management"
HR,Gupshup Technology,Mumbai,Immediately,4 Months,"₹ 10,000 /month","Teamwork, Time Management"
Graphic Design,Bajaj Finance Limited,Pune,Immediately,4 Months,"₹ 5,000-15,000 /month","Teamwork, Time Management"
Graphic And Content,Hero Vired,Delhi,Immediately,4 Months,"₹ 20,000 /month","Teamwork, Time Management"
DEI Consulting,Godrej Agrovet Limited,Mumbai,Immediately,4 Months,"₹ 10,000-15,000 /month","Teamwork, Time Management"
Fundraising,WWF India,Delhi,Immediately,4 Months,"₹ 18,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Angular UI Development & UI Design,IIT Bombay,Work From Home,Immediately,4 Months,"₹ 1,000-2,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Teaching GPAT And Pharmacy Exams,Unacademy,Work From Home,Immediately,4 Months,"₹ 20,000 /month","Teamwork, Time Management"
Business Operations And Research,Benesse India,Delhi,Immediately,4 Months,"₹ 25,000 /month","Teamwork, Time Management"
Business Development & Brand Solution,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,4 Months,"₹ 5,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Supply Chain & Logistics Operations,Inland World Logistics Private Limited,Coimbatore,Immediately,4 Months,"₹ 10,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Content Writing,HT Media,Mumbai,Immediately,4 Months,"₹ 3,500-5,000 /month","Teamwork, Time Management"
Motion Design,NoBroker,Bangalore,Immediately,4 Months,"₹ 12,000 /month","Teamwork, Time Management"
Sales Trainee,Pioneer E-Solutions,Gurgaon,Immediately,4 Months,"₹ 10,000 /month","CRM, Communication, Data Preprocessing, Lead Generation, Machine Learning, Python, Sales Strategy, Scikit-learn, Teamwork, Time Management"
Retail Management,Decathlon Sports India,Patna,Immediately,4 Months,"₹ 7,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Operation Analyst,Apollo247,Gurgaon,Immediately,4 Months,"₹ 15,000 /month","Teamwork, Time Management"
Omni Sports Leadership,Decathlon Sport India Private Limited,Ludhiana,Immediately,4 Months,"₹ 10,000 /month","Teamwork, Time Management"
HR Operations,UpGrad (U Education Management Private Limited),Gurgaon,Immediately,4 Months,"₹ 10,000 /month","Teamwork, Time Management"
Human Resources (HR),Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Omni Sports Leading,Decathlon Sport India Private Limited,Mumbai,Immediately,6 Months,"₹ 13,000 /month","Teamwork, Time Management"
IT Coordination,Vaibhav Global Limited,Jaipur,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Admin,Worldwide Media (Times Group),Mumbai,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Graphic Design,Priyanka Singh,Jaipur,Immediately,6 Months,"₹ 5,000 /month +  Incentives","Teamwork, Time Management"
Software Development – Vāgyojaka Tool,IIT Bombay,Work From Home,Immediately,6 Months,"₹ 3,000-5,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Product Management,Tynor Orthotics Private Limited,Mohali,Immediately,6 Months,"₹ 7,500 /month","Teamwork, Time Management"
Omni Sport Leader,Decathlon Sports India,Pimpri-Chinchwad,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Business Development (Sales),UpGrad (UpGrad Education Private Limited),Nagpur,Immediately,6 Months,"₹ 2,500-9,500 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Graphic Design,Futurionic Private Limited,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Business Development (Sales),Cultfit Healthcare Private Limited,Bangalore,Immediately,6 Months,"₹ 20,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Teamwork, Time Management"
Youtube Management,Unacademy,Bangalore,Immediately,6 Months,"₹ 15,000 /month","Teamwork, Time Management"
Marketing,Absolute Barbecue Private Limited,Hyderabad,Immediately,6 Months,"₹ 6,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Event Management,Office Of Advisor To CM,Delhi,Immediately,6 Months,Unpaid,"Teamwork, Time Management"
Customer Service,Kalpataru Limited,Mumbai,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Marketing,Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Public Relations,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 1,500 /month","Teamwork, Time Management"
Talent Acquisition,MRCC Solutions,Thane,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Human Resources (HR),Zucol Group Of Companies,Indore,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Sales (Real Estate),Anarock Property Consultant Private Limited,Pune,Immediately,6 Months,"₹ 10,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Customer Experience,Snapdeal,Gurgaon,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Insurance Consulting,Bajaj Allianz Life Insurance Company Limited,Work From Home,Immediately,6 Months,"₹ 12,000 /month +  Incentives","Teamwork, Time Management"
Resource Management,Techolution,Hyderabad,Immediately,6 Months,"₹ 15,000 /month","Teamwork, Time Management"
